timestamp,symbol,open,high,low,close,volume
2026-05-05 09:15:00,AMDDEMO,100.00,101.20,99.60,100.80,120000
2026-05-05 09:16:00,AMDDEMO,100.80,102.10,100.20,101.70,138500
2026-05-05 09:17:00,AMDDEMO,101.70,102.00,100.90,101.10,99000
2026-05-05 09:18:00,AMDDEMO,101.10,102.40,100.70,102.00,151200
2026-05-05 09:19:00,AMDDEMO,102.00,103.00,101.50,102.60,164100
2026-05-05 09:15:00,GPUDEMO,220.00,221.40,219.10,220.90,88000
2026-05-05 09:16:00,GPUDEMO,220.90,222.00,220.20,221.60,93000
2026-05-05 09:17:00,GPUDEMO,221.60,222.30,220.50,220.80,102000
2026-05-05 09:18:00,GPUDEMO,220.80,221.20,219.80,220.10,111500
2026-05-05 09:19:00,GPUDEMO,220.10,221.70,219.90,221.20,117200

